204教室,にぜろよんきょうしつ でんきか 2ねん 2年 にねん 電気科,2F 教室棟 電気科 2年,71.0,-90.0,2,
205教室,にぜろごきょうしつ でんしじょうほうか 2ねん 2年 にねん 電子情報科 でんじょう 電情,2F 教室棟 電子情報科 2年,71.0,-84.0,2,
206教室,にぜろろくきょうしつ けんちくか 2ねん 2年 にねん 建築科,2F 教室棟 建築科 2年,71.0,-78.0,2,
207教室,にぜろななきょうしつ かんきょうせつびか 2ねん 2年 にねん 環境設備科,2F 教室棟 環境設備科 2年,71.0,-72.0,2,
208教室,にぜろはちきょうしつ かんきょうどぼくか 環境土木科 2ねん 2年 にねん,2F 教室棟 環境土木科 2年,71.0,-66.0,2,
図書室,としょしつ,2F 教室棟,64,-117,2,多くの本が取り揃えてあり、テスト期間には自習している人もしばしばいます
司書室,ししょしつ,2F 管理棟,59,-118,2,司書の先生がいます
倉庫⑥,そうこ 6,2F 管理棟,59,-122,2,古い本や貴重な本が保管されています
食堂,しょくどう,2F 管理棟,56,-148,2,基本的に定時制しか使用できません
厨房,ちゅうぼう,2F 管理棟,55.5,-136,2,給食を作っています
211教室,にいちいちきょうしつ,2F 管理棟,56,-126,2,
212教室,にいちにきょうしつ,2F 管理棟,56,-120,2,
213教室,にいちさんきょうしつ,2F 管理棟,56,-114,2,
214教室,にいちよんきょうしつ,2F 管理棟,56,-108,2,
職員室(定時制),しょくいんしつ(ていじせい),2F 管理棟,55,-99,2,定時制の先生がいます
多目的室②,たもくてきしつ 2,2F 管理棟,60,-98,2,定時制が授業で使います
物理教室①,ぶつりきょうしつ 1,2F 管理棟,60,-91,2,定時制が授業で使います
物理教室②,ぶつりきょうしつ 2,2F 管理棟,55,-84,2,進学類型が授業で使っています
物理準備室,ぶつりじゅんびしつ,2F 管理棟,55,-91,2,物理の先生がいます
音楽準備室,おんがくじゅんびしつ,2F 管理棟,56,-78,2,音楽の先生がいます
化学準備室,かがくじゅんびしつ,2F 管理棟,60,-84,2,化学の先生がいます
化学教室,かがくきょうしつ,2F 管理棟,60,-74,2,化学の授業で使われます
音楽室,おんがくしつ,2F 管理棟,55,-70,2,音楽の授業で使われます
第二体育館,だいにたいいくかん,2F,75.5,-33,2,
機械棟3階入口,きかいとうさんかいいりぐち　きかいとう3かいいりぐち,3F 機械棟,74.6,-135.5,3,
制御実習室,せいぎょじっしゅうしつ,3F 機械棟,81.5,-140,3,制御実習で使います
課題研究室(機械棟),かだいけんきゅうしつ(きかい),3F 機械棟,80,-140,3,課題研究で使います
製図室(機械棟),せいずしつ(きかい),3F 機械棟,80.5,-132,3,図面を書いたり設計をしたりする部屋です
実習準備室(機械棟),じっしゅうじゅんびしつ(きかい),3F 機械棟,79,-132,3,機械化の先生の職員室です
電子機械応用実習室,でんしきかいおうようじっしゅうしつ,3F 機械棟,78.2,-140,3,制御実習や、マイコンカーの製作で使われます
コンピュータ(CAD)実習室(機械棟),こんぴゅーたじっしゅうしつ(きかい),3F 機械棟,77,-132,3,PCを使ってCADで図面などを書く部屋です
FA実習室,えふえーじっしゅうしつ,3F 機械棟,76,-140,3,Factory Automationの略で、シーケンス制御の実習で使います
倉庫(機械棟) 3F,そうこ(きかい),3F 機械棟,75.2,-132,3,倉庫です
電気棟3階入口,でんきとうさんかいいりぐち　でんきとう3かいいりぐち,3F 電気棟,74.6,-112.5,3,
電子工作実習室,でんしこうさくじっしゅうしつ,3F 電気棟,81,-116,3,電気電子研究部が部活で使用します
実習準備室(電気棟),じっしゅうじゅんびしつ(でんき),3F 電気棟,80,-117,3,電気系の先生の職員室です
コンピュータ(CAD)実習室(電気棟),こんぴゅーたじっしゅうしつ(でんき),3F 電気棟,80,-108,3,パソコンが置いてあり、プログラミングの実習で使われることも多いです
計器管理室,けいきかんりしつ,3F 電気棟,78.7,-108,3,実習で使用する機器が置いてあります
製図室(電気棟),せいずしつ(でんき),3F 電気棟,78,-116,3,製図の授業で使用するドラフターがおいてあります
総合実習室,そうごうじっしゅうしつ,3F 電気棟,76.5,-109,3,実習や、第二種電気工事士の実技試験の練習で使われます
電子回路実習室(電気棟),でんしかいろじっしゅうしつ(でんき),3F 電気棟,76,-116,3,電子回路の製作実習で使われます
